Code,Construct,Layer,Include when,Exclude when,Primary-code eligibility,Common adjacent codes,Required evidence,Boundary test,Pilot interpretation
B1,Knowledge packaging and canonicalization,Ecosystem condition,"The central problem is that useful knowledge is undiscoverable, migrates to restricted channels, lacks a canonical artifact, or is not maintained.",A technical issue merely requires reading documentation; code B10 for documentation access and the relevant technical mechanism.,"Primary only for knowledge-governance, corpus, repository, database, or canonical-answer discussions.","B4, B10","Explicit migration, repeated rediscovery, absence of public artifact, or production of a maintained artifact.","Would the problem remain if the technical answer were already packaged, indexed, versioned, and maintained?","Cross-cutting modifier when it accompanies a technical failure; primary when the thread's object is the artifact, corpus, or governance itself. Frequent co-code should not be interpreted as an independent failure count."
B2,Driver and interface accessibility,Interface / representation,"A device cannot be invoked, observed, or integrated because of API, SDK, protocol, license, driver, simulator, or maintenance constraints.","The interface exists and works; the failure is caused by configuration state, geometry, scheduling, or validation; or the statement is a claim about vendor market structure rather than a specific integration attempt.",Primary for device-communication and integration-access episodes.,"B1, B3, B10","Concrete interface requirement, access barrier, implementation path, driver behavior, or license condition.",Is the immediate obstacle the ability to communicate with or control the device?,Technically explicit and suitable for component-level accessibility scoring.
B3,"Method, configuration, calibration, and runtime entanglement",Interface / representation,"Portable method logic is inseparable from deployment configuration, generated IDs, calibration, active runtime state, recovery state, or vendor databases.","A file is simply undocumented, or a driver is absent, without evidence of state or configuration coupling.","Primary for versioning, deployment, rollback, runtime-state, and configuration-coupling episodes.","B2, B5, B6, B10","Specific artifact types, state stores, identifiers, deployment steps, overwrite behavior, or rollback evidence.","Would normal source control or deployment work if source, configuration, calibration, and runtime state were cleanly separated?",Strong mechanism; textual diff quality and reproducibility must remain distinct.
B4,Incomplete physical-resource definitions,Interface / representation,"Geometry, material, tolerance, coordinate frames, nesting, labware semantics, or validation provenance are missing or incorrect.","The resource definition is complete and the failure arises from liquid behavior, scheduling, or driver access.","Primary for labware, consumable, carrier, tip, lid, and physical-resource representation episodes.","B1, B3, B8, B10","Named physical attribute, measurement, semantic mismatch, cross-machine failure, correction, or evidence grade.",Does the software representation fail to encode a physical property needed for reliable execution?,Incident-rich and suitable for evidence-grade coding.
B5,Fragmented observability and evidence semantics,Runtime coordination,"Commands, observations, sample identities, state transitions, interventions, recoveries, or measurements cannot be linked or interpreted consistently.","The system has sufficient evidence but the plan, geometry, or interface is invalid.","Primary for logging, telemetry, lineage, contamination-state, and diagnosis-evidence episodes.","B3, B4, B6, B8","Requested or available logs, event fields, measurements, trace relationships, or first-divergence evidence.","Could a reviewer reconstruct what happened, to which material, and with which observations?","Measure relationships and coverage, not raw log volume."
B6,Partial execution and recovery,Runtime coordination,"An irreversible physical prefix has executed, system and physical state may diverge, or safe resumption, compensation, or sample disposition is uncertain.",The error is fully preflighted or no physical action has occurred.,"Primary for abort, crash, checkpoint, state reconciliation, salvage, and restart episodes.","B3, B5, B8, B10","Completed physical action, material in transit, recovery path, state checkpoint, disposition, or resumed-run evidence.",Has the physical world changed in a way ordinary software rollback cannot reverse?,Lower volume but high consequence; scientific validity after recovery is a separate outcome.
B7,Scheduling requirements and capability ambiguity,Runtime coordination,"A schedule cannot be evaluated because constraints, objectives, resource semantics, failure policies, or scheduler capability definitions are incomplete or incomparable.","The sequence is fixed and the problem concerns only device communication or method correctness; or the claim concerns purchasing lead time, installation schedule, or component supply, which are procurement facts outside the taxonomy.","Primary for scheduling scenarios, orchestrator comparisons, resource-allocation requirements, and dynamic replanning.","B2, B6, B10","Tasks, durations, capacities, precedence, timing windows, priorities, storage, expiry, or failure-policy detail.",Could two systems be evaluated against the same fully specified scheduling instance?,Strong conceptual evidence; current forum discussion lacks a shared benchmark.
B8,Testing and validation semantics,Evaluation,"A discussion concerns what a test establishes, how acceptance is defined, which validation stage was reached, or how simulation relates to wet execution.","A test is only mentioned in passing and the central issue is geometry, driver access, or recovery.","Primary for test taxonomy, simulation validity, process validation, contamination proof, and regression evidence.","B4, B5, B6, B9, B10","Test object, environment, acceptance criterion, observed evidence, asserted claim, or validation stage.",Does the episode hinge on whether the evidence supports the claimed conclusion?,"Terminology remains unstable; code object, environment, evidence, and claim separately."
B9,AI context and physical-feedback gap,Emerging AI layer,"AI-generated or AI-assisted methods omit material context, require physical feedback, or are evaluated only at a shallow execution stage.","The same problem would arise without AI and no generation, inference, or model-assisted workflow is involved.","Primary for AI generation, AI debugging, context-completeness, and validation-funnel episodes.","B2, B4, B5, B8, B10","Prompt/input context, omitted constraints, human corrections, simulation/wet results, model-reported metric, or feedback loop.",What additional physical or scientific information becomes necessary after the initial AI framing?,Recent and selected evidence; Context Expansion Ratio is exploratory.
B10,"Documentation, training, and support dependence",Ecosystem condition,"The central blocker is absent, inaccessible, outdated, sparse, or undiscoverable documentation, training, examples, or expert support.",Documentation is available and sufficient; a technical failure persists for another reason.,"Primary only for explicit documentation, training, onboarding, mentoring, or support-process threads.",B1 and any technical code,"Direct request for manuals, examples, tutorials, training, maintainers, vendor help, or evidence that discoverability changed the outcome.","Would a competent user likely resolve the problem with current, discoverable, version-bound guidance?",Pervasive modifier; high frequency may also reflect adoption and advanced use.
