Context class,Origin,Core execution scope?,Broader deployment scope?,Counted in conservative grouping?,Evidence summary,Forum location,Source URL,Coding confidence,Potential overlap,Analytical note
Operation vocabulary and sequence,Initial,Yes,Yes,Yes,"Aspirate, dispense, mix, transfer, and dilute are presented as a finite action vocabulary.",Opening post,https://labautomation.io/t/ai-assisted-method-writing/7218,High,None,One initial class; operation names alone do not encode physical validity.
Volume parameters,Initial,Yes,Yes,Yes,Volumes are explicitly named as physical parameters.,Opening post,https://labautomation.io/t/ai-assisted-method-writing/7218,High,Transfer parameters,Counted separately in the main ontology.
Spatial positions / layout,Initial,Yes,Yes,Yes,Positions are explicitly named as physical parameters.,Opening post,https://labautomation.io/t/ai-assisted-method-writing/7218,High,Deck-layout GUI,Opening framing acknowledges position but not full geometry.
Speed / flow parameters,Initial,Yes,Yes,Yes,Speeds are explicitly named as physical parameters.,Opening post,https://labautomation.io/t/ai-assisted-method-writing/7218,High,Wet-process optimization,Opening framing includes speed but no assay-specific operating envelope.
Hardware capability boundaries,Initial,Yes,Yes,Yes,The hardware is said to define the boundaries of the problem.,Opening post,https://labautomation.io/t/ai-assisted-method-writing/7218,High,Third-party integration,A generic hardware boundary differs from an executable multi-device integration context.
"Physics, chemistry, and biology",Reply-added,Yes,Yes,Yes,"A reply contrasts software rules with natural physical, chemical, and biological behavior.",Reply 8,https://labautomation.io/t/ai-assisted-method-writing/7218,High,Wet-process optimization,Conservative ontology groups these natural-science constraints together.
Business and organizational context,Reply-added,No,Yes,Yes,The same reply explicitly adds business context.,Reply 8,https://labautomation.io/t/ai-assisted-method-writing/7218,High,Regulatory context,"Relevant to deployment and acceptance, not every low-level transfer."
Training-data availability,Reply-added,No,Yes,Yes,Participants contrast abundant public code with sparse public process data.,Replies 9–11,https://labautomation.io/t/ai-assisted-method-writing/7218,High,IP restrictions,Affects model development and transferability.
IP and sharing restrictions,Reply-added,No,Yes,No,Methods are often treated as proprietary and remain unavailable.,Reply 12,https://labautomation.io/t/ai-assisted-method-writing/7218,High,Training data,Separated from data scarcity in the broader specification.
Sample value and error tolerance,Reply-added,Yes,Yes,Yes,Sensitive samples may be worth thousands of dollars and leave little room for error.,Reply 9,https://labautomation.io/t/ai-assisted-method-writing/7218,High,Safety / risk,Introduces consequence severity absent from the initial action-space framing.
Physical feedback and human observation,Reply-added,Yes,Yes,Yes,Participants state that physical hardware lacks an automatic test-and-correct loop and requires human awareness.,Reply 9,https://labautomation.io/t/ai-assisted-method-writing/7218,High,Observability,Core execution context.
Method context beyond command text,Reply-added,Yes,Yes,Yes,Even shared methods may omit the context needed to understand implementation.,Reply 12,https://labautomation.io/t/ai-assisted-method-writing/7218,High,Tech transfer quality,Directly challenges command-level sufficiency.
Implementation quality and tech transfer,Reply-added,Yes,Yes,No,"Participants distinguish vendor transfer, academic assays, and industry implementation quality.",Reply 12,https://labautomation.io/t/ai-assisted-method-writing/7218,High,Method context,Separated in the broader specification.
Combinatorial interactions,Reply-added,Yes,Yes,Yes,Finite elements can combine into a much larger solution space.,Reply 13,https://labautomation.io/t/ai-assisted-method-writing/7218,High,Emergent behavior,Conservative ontology groups combination and emergence.
Emergent behavior / limited first-principles predictability,Reply-added,Yes,Yes,No,Replies argue that interactions can produce outcomes not predictable from the action vocabulary alone.,Reply 13,https://labautomation.io/t/ai-assisted-method-writing/7218,Medium,Combinatorial interactions,Distinct in the broad specification.
Third-party device integration,Reply-added,Yes,Yes,Yes,A later reply identifies integration of third-party devices as a central problem.,Reply 19,https://labautomation.io/t/ai-assisted-method-writing/7218,High,Hardware boundaries,Generic hardware constraints do not encode interface and orchestration behavior.
LIMS and tailored data handling,Reply-added,Yes,Yes,Yes,Data handling is described as tailored to different LIMS permutations.,Reply 19,https://labautomation.io/t/ai-assisted-method-writing/7218,High,Third-party integration,Core deployment dependency.
Collaboration and version control,Reply-added,No,Yes,Yes,"The initiating participant later identifies missing sharing, version control, and collaboration.",Reply 16,https://labautomation.io/t/ai-assisted-method-writing/7218,High,Standards,Broader system-development context.
Regulatory and standards context,Reply-added,No,Yes,No,"FDA, ISO, and digital CMC are introduced as adoption and standardization forces.",Reply 18,https://labautomation.io/t/ai-assisted-method-writing/7218,Medium,Business context,Broader deployment context.
User programming experience and interface learning,Reply-added,No,Yes,No,Replies question whether users start with programming experience and how that affects GUI adoption.,Reply 14,https://labautomation.io/t/ai-assisted-method-writing/7218,Medium,GUI / deck layout,"Human-factors context, not a physical execution constraint."
Deck-layout visualization / GUI support,Reply-added,No,Yes,No,A 3D GUI is described as useful for deck layout.,Reply 5,https://labautomation.io/t/ai-assisted-method-writing/7218,High,Spatial positions,Opening position parameters do not imply usable spatial authoring.
Wet-process optimization and bubbles,Reply-added,Yes,Yes,Yes,A contributor cites rapid scripts for varying liquid-class parameters and observing bubbles.,Reply 20,https://labautomation.io/t/ai-assisted-method-writing/7218,High,Physics/chemistry/biology,Concrete physical-feedback example.
