Thread ID,Thread,Source URL,Specific adjudication question,Episode segmentation required,Priority
2,Database storing common Labware specifications,https://labautomation.io/t/database-storing-common-labware-dwps-etc-specifications/103,"Is each episode principally about resource semantics, canonicalization, or governance?",Yes — at least three episodes,Critical
4,50ul Tip Troubleshooting Report / Post-Mortem,https://labautomation.io/t/50ul-tip-troubleshooting-report-post-mortem/3009,Should the correction and post-mortem be coded as a counterexample to B1/B10?,"Yes — incident, diagnosis, institutionalization",Critical
5,User feedback on Schedulers,https://labautomation.io/t/user-feedback-on-schedulers/1106,Which claims concern scheduling and which concern integration accessibility?,"Yes — comparison, driver moat, community guidance",Critical
7,In-House Drivers Integration,https://labautomation.io/t/in-house-drivers-integration/6619,"Does AI change the bottleneck, or only reduce initial implementation effort?",Yes — four or more distinct episodes,Critical
9,Tecan Driver Framework Licence,https://labautomation.io/t/tecan-driver-framework-licence/7297,Is the episode about legal/technical access or state consistency after external control?,Yes — license and state-sync episodes,High
13,Tecan Fluent Version Control (git),https://labautomation.io/t/tecan-fluent-version-control-git/6636,Where does configuration entanglement end and runtime recovery begin?,"Yes — overwrite incident, recovery, open-source bridge",Critical
21,PLR Carrier z-Height Issue,https://labautomation.io/t/plr-carrier-z-height-issue/3056,Which episodes concern representation defects versus documentation or governance?,Yes — multiple technical subproblems,Critical
26,Automation Report Data,https://labautomation.io/t/automation-report-data/779,Is database advocacy an observability decision or a knowledge-packaging decision?,"Yes — field design, structured storage, analysis",High
32,Error catching for composite functions,https://labautomation.io/t/error-catching-for-composite-functions/3354,Which detection layer could prevent the irreversible prefix?,"Yes — incident, preflight design, runtime limits",Critical
33,Scheduling Software Toy Problem,https://labautomation.io/t/scheduling-software-toy-problem/1580,Which missing facts are scheduler inputs versus laboratory-policy assumptions?,"Yes — initial scenario, constraint expansion, ontology proposal",Critical
36,Unit Tests,https://labautomation.io/t/unit-tests/3481,Can the test object and supported claim be coded independently of the label used?,"Yes — practice, terminology dispute, reusable components",Critical
37,AI Assisted Method Writing,https://labautomation.io/t/ai-assisted-method-writing/7218,Which new constraints are genuinely material and how should Context Expansion Ratio count them?,"Yes — initial framing, context expansion, feedback, data scarcity",Critical
38,VerisFlow v0.4 Release,https://labautomation.io/t/verisflow-v0-4-release-ai-powered-hsl-method-generation-achieves-92-success-rate/6593,"What exact claim does the 92% metric support, and where does the validation funnel stop?","Yes — reported result, evaluation request, infrastructure limits",Critical
55,Venus feature requests,https://labautomation.io/t/venus-feature-requests/248,"Should each requested capability be a separate episode, and which requests have positive vendor clarification?",Yes — at least four thematic episodes,Critical
