Rank order,Code A,Code B,N(A),N(B),Overlap,Union,Jaccard,Lift,Phi,P(B|A),P(B|not A),Descriptive RR,Phi if overlap −1,Phi if overlap +1,Sensitivity width,Pilot threshold met?,Relationship class,Interpretation,Invalid inference
1,B5,B6,17,11,8,20,0.4,2.3529411764705883,0.4524614483346644,0.47058823529411764,0.07894736842105263,5.96078431372549,0.35410026391408517,0.5508226327552436,0.1967223688411584,Yes,Mechanism,"Partial execution raises the value of state, intervention, recovery, and disposition evidence.",Association in a purposive multi-label corpus is not a population correlation or causal estimate.
2,B5,B8,17,19,11,25,0.44,1.8730650154798762,0.4242333421946271,0.6470588235294118,0.21052631578947367,3.073529411764706,0.34149279673113603,0.5069738876581182,0.1654810909269822,Yes,Mechanism,Observations and logs require acceptance rules and scoped interpretation before they support a claim.,Association in a purposive multi-label corpus is not a population correlation or causal estimate.
3,B2,B7,17,12,8,21,0.38095238095238093,2.156862745098039,0.408762355540103,0.47058823529411764,0.10526315789473684,4.470588235294118,0.3134999421727061,0.5040247689074998,0.1905248267347937,Yes,Enabling condition,A scheduler can allocate only devices whose interfaces can be invoked and whose states can be represented.,Association in a purposive multi-label corpus is not a population correlation or causal estimate.
4,B4,B8,13,19,8,24,0.3333333333333333,1.7813765182186234,0.31581513330334404,0.6153846153846154,0.2619047619047619,2.3496503496503496,0.22581600205109573,0.40581426455559233,0.1799982625044966,Yes,Mechanism,"Physical-definition defects are often exposed, bounded, or corrected through simulation and hardware validation.",Association in a purposive multi-label corpus is not a population correlation or causal estimate.
5,B8,B9,19,5,4,20,0.2,2.3157894736842106,0.3022817708791715,0.21052631578947367,0.027777777777777776,7.578947368421052,0.16927779169233606,0.435285750066007,0.26600795837367097,Yes,Evaluation dependency,AI-generated methods intensify the need to bind reported performance to a defined validation stage.,Association in a purposive multi-label corpus is not a population correlation or causal estimate.
6,B6,B8,11,19,6,24,0.25,1.5789473684210527,0.21029775604801496,0.5454545454545454,0.29545454545454547,1.8461538461538458,0.11470786693528089,0.305887645160749,0.1911797782254681,No,Exploratory,Descriptive co-occurrence; mechanism requires separate adjudication.,Association in a purposive multi-label corpus is not a population correlation or causal estimate.
7,B5,B9,17,5,3,19,0.15789473684210525,1.9411764705882353,0.19906904071737577,0.17647058823529413,0.05263157894736842,3.3529411764705888,0.062209075224179934,0.33592900621057165,0.2737199309863917,No,Evaluation dependency,AI-assisted physical work requires observations and feedback beyond command generation.,Association in a purposive multi-label corpus is not a population correlation or causal estimate.
8,B3,B9,18,5,3,20,0.15,1.8333333333333333,0.18380365552345193,0.16666666666666666,0.05405405405405406,3.083333333333333,0.04901430813958718,0.3185930029073167,0.2695786947677295,No,Representation dependency,"AI method generation inherits the configuration, artifact, and deployment boundaries of vendor environments.",Association in a purposive multi-label corpus is not a population correlation or causal estimate.
9,B3,B6,18,11,5,24,0.20833333333333334,1.3888888888888888,0.1356222452011225,0.2777777777777778,0.16216216216216217,1.712962962962963,0.03874921291460643,0.2324952774876386,0.19374606457303217,No,Exploratory,Descriptive co-occurrence; mechanism requires separate adjudication.,Association in a purposive multi-label corpus is not a population correlation or causal estimate.
10,B3,B5,18,17,7,28,0.25,1.2581699346405228,0.1204408238936102,0.3888888888888889,0.2702702702702703,1.4388888888888889,0.03658961738540057,0.20429203040181984,0.16770241301641928,No,Exploratory,Descriptive co-occurrence; mechanism requires separate adjudication.,Association in a purposive multi-label corpus is not a population correlation or causal estimate.
11,B4,B5,13,17,5,25,0.2,1.244343891402715,0.09092455400574968,0.38461538461538464,0.2857142857142857,1.3461538461538463,-0.0016837880371435127,0.1835328960486429,0.1852166840857864,No,Exploratory,Descriptive co-occurrence; mechanism requires separate adjudication.,Association in a purposive multi-label corpus is not a population correlation or causal estimate.
12,B2,B9,17,5,2,20,0.1,1.2941176470588236,0.062209075224179934,0.11764705882352941,0.07894736842105263,1.4901960784313726,-0.07465089026901592,0.19906904071737577,0.2737199309863917,No,Exploratory,Descriptive co-occurrence; mechanism requires separate adjudication.,Association in a purposive multi-label corpus is not a population correlation or causal estimate.
13,B4,B6,13,11,3,21,0.14285714285714285,1.1538461538461537,0.042796049251091296,0.23076923076923078,0.19047619047619047,1.2115384615384617,-0.06419407387663695,0.14978617237881953,0.21398024625545647,No,Exploratory,Descriptive co-occurrence; mechanism requires separate adjudication.,Association in a purposive multi-label corpus is not a population correlation or causal estimate.
14,B4,B9,13,5,1,17,0.058823529411764705,0.8461538461538461,-0.027066598098038335,0.07692307692307693,0.09523809523809523,0.8076923076923078,-0.17593288763724918,0.12179969144117252,0.2977325790784217,No,Exploratory,Descriptive co-occurrence; mechanism requires separate adjudication.,Association in a purposive multi-label corpus is not a population correlation or causal estimate.
15,B6,B7,11,12,2,21,0.09523809523809523,0.8333333333333334,-0.04402254531628119,0.18181818181818182,0.22727272727272727,0.8,-0.15407890860698417,0.06603381797442179,0.22011272658140596,No,Exploratory,Descriptive co-occurrence; mechanism requires separate adjudication.,Association in a purposive multi-label corpus is not a population correlation or causal estimate.
16,B3,B8,18,19,5,32,0.15625,0.804093567251462,-0.09926808348110709,0.2777777777777778,0.3783783783783784,0.7341269841269841,-0.18075680872679203,-0.017779358235422166,0.16297745049136986,No,Exploratory,Descriptive co-occurrence; mechanism requires separate adjudication.,Association in a purposive multi-label corpus is not a population correlation or causal estimate.
17,B7,B8,12,19,3,28,0.10714285714285714,0.7236842105263158,-0.10604437767613947,0.25,0.37209302325581395,0.671875,-0.19862280263149934,-0.013465952720779615,0.18515684991071973,No,Exploratory,Descriptive co-occurrence; mechanism requires separate adjudication.,Association in a purposive multi-label corpus is not a population correlation or causal estimate.
18,B2,B3,17,18,4,31,0.12903225806451613,0.7189542483660131,-0.1311127956310187,0.23529411764705882,0.3684210526315789,0.638655462184874,-0.21496400213922834,-0.04726158912280907,0.16770241301641928,No,Exploratory,Descriptive co-occurrence; mechanism requires separate adjudication.,Association in a purposive multi-label corpus is not a population correlation or causal estimate.
