Claim ID,Proposed statement,Claim class,Evidence source,Denominator / scope,Safe wording,Prohibited overclaim,Sensitivity / limitation,Figure / table,Citation set,Status
C01,"Documentation, training, and support are pervasive cross-cutting conditions.",Descriptive corpus result,55-thread multi-label evidence register,Purposive pilot; B10 in 48/55 selected threads,Documentation and support appeared across most selected technical discussions and should be modeled as cross-cutting conditions.,Documentation is the cause of 87% of laboratory-automation failures.,Purposive selection and broad modifier coding inflate frequency relative to prevalence.,Evidence atlas / taxonomy figure,Evidence_Register; Taxonomy_Rules,Approved
C02,A substantial share of selected partial-execution failures was preflight preventable.,Bounded case-study metric,B6_Preflight_PPR,Four selected scenarios; complete-case 2/3,Two of three definitely classifiable scenarios were detectable before the first irreversible action; sensitivity across all four was 50%–75%.,Two thirds of laboratory automation failures are preventable.,"Small, purposive denominator; one scenario indeterminate; wide Wilson interval.",B6 metric table,Error-catching and abort-handler threads,Approved
C03,The scheduling forum is better at discovering missing constraints than resolving the benchmark.,Bounded case-study metric,B7_Constraint_Completeness,One toy scenario; 13 requirement classes,"Replies surfaced seven of eight incomplete requirement classes, while none received a definitive scenario-specific value.",The forum fails to solve scheduling problems.,One deliberately underdetermined toy problem; discovery itself is a positive contribution.,Discovery-resolution figure,Scheduling toy-problem thread,Approved
C04,AI-method discussion substantially expands the problem context.,Bounded case-study metric,B9_Context_Expansion,One thread; five initial classes,Replies added ten core execution classes and seventeen broader deployment classes; the result remained large under conservative grouping.,AI-generated methods are unsafe or fail 200% more often.,Context expansion is not a failure rate and coding granularity affects the ratio.,Context-expansion figure,AI Assisted Method Writing,Approved
C05,VerisFlow reports 92% simulation-trace agreement.,Source-reported quantitative claim,AI_Validation_Funnel,92/100 randomly generated worklists,The developer reports that 92 of 100 generated methods produced simulation traces matching their source worklists.,VerisFlow succeeds on 92% of wet-lab methods.,"Product-reported; no dry, wet, assay, or independent replication result in the analyzed post.",Validation funnel,VerisFlow v0.4 thread,Approved
C06,Interface accessibility enables orchestration.,Mechanism hypothesis with descriptive association,Pairwise_Associations and scheduler episodes,B2–B7 overlap 8/55; phi 0.409,Interface accessibility appears to be an enabling condition for orchestration in the selected discussions.,Better drivers cause better scheduling or vendor X has the best scheduler.,Scheduler sampling includes device breadth by design; association is not causal.,Relationship map,Scheduler and driver threads,Approved
C07,Observability and recovery are strongly coupled.,Mechanism hypothesis with descriptive association,Pairwise_Associations and recovery episodes,B5–B6 overlap 8/55; phi 0.452,"Observability and recovery co-occur strongly in the pilot, and the incidents support a mechanism in which incomplete execution evidence constrains recovery.",Logging reduces recovery time by a quantified causal amount.,No prospective outcome data; severe incidents may elicit more logging.,Relationship map,"Composite transfer, abort, VENUS recovery threads",Approved
C08,Physical-resource definitions require evidence grades.,Mixed qualitative and bounded metric,B4_Physical_Definitions,Four selected resource cases,The selected cases show that field completeness and evidence depth are distinct; only one reached independent reproduction.,Most labware definitions are invalid.,Purposive problem cases; evidence grades are ordinal.,Physical-definition table,"Tip, z-height, lid, import threads",Approved
C09,Only a minority of bounded test claims were fully aligned.,Bounded case-study metric,B8_Test_Claim_Alignment,Six selected claims,"Two of six bounded claims fully aligned object, environment, acceptance rule, evidence, and claim scope; five were at least partially aligned.",Two thirds of forum claims are misleading.,Selected difficult cases; claim wording was normalized before adjudication.,Test-claim table,"Unit tests, VerisFlow, contamination, TADM, tip threads",Approved
C10,The forum often converts opaque knowledge into public guidance.,Bounded documentation profile,B10_Documentation_Profile,Twelve documentation-centered cases,Five of twelve cases received fully actionable public resolution and ten received at least partial public resolution.,The forum resolves 83% of all technical questions.,Documentation-centered purposive sample; private migration and unresolved technical issues remain.,Documentation profile,Twelve coded threads,Approved
C11,The ten bottlenecks form a boundary-centered structure.,Interpretive synthesis,Evidence atlas and relationship map,Pilot-wide synthesis,"Recurring difficulties concentrate at boundaries among knowledge, interfaces, deployment state, physical resources, execution evidence, recovery, and claims.",The taxonomy is complete or exhaustive for the industry.,Framework derived from a public practitioner corpus and should remain revisable.,Conceptual architecture figure,Full coded corpus,Approved
C12,Vendor reliability can be ranked from forum complaints.,Unsupported overclaim,None,No installed-base or run-count denominator,Do not make this claim.,"Any vendor reliability, market-share, or failure-rate ranking derived from topic or complaint counts.","Reporting propensity, installed base, complexity, and forum history are uncontrolled.",Limitations box,None,Rejected
