Field,Definition,Data type,Requirement,Allowed values / format,Quality check,Maintainer responsibility,Why it exists,Example
Record ID,Stable identifier for the canonical record.,String,Required,RKI-YYYY-NNNN,Unique and immutable.,Index steward,Supports citation and supersession.,RKI-2026-0007
Problem statement,Concise observable problem without assuming root cause.,Text,Required,One to three sentences,Must distinguish observation from interpretation.,Technical reviewer,Preserves a reusable search target.,Dispense fails after aspiration because destination lid remains assigned.
Bottleneck codes,Applicable B1–B10 analytical codes.,Multi-select,Required,B1...B10,At least one; primary code identified.,Index steward,Connects records to the evidence atlas.,"Primary B6; secondary B5, B8"
Applicable systems,"Vendor, model, modules, interface, software, firmware.",Structured text,Required,Version-bound system tuple,No generic product-only records.,Domain maintainer,Prevents applying advice outside its tested environment.,Hamilton STAR; VENUS 6.2; REST API
Resource / process context,"Labware, liquid, geometry, workflow, scientific constraints.",Structured text,Conditional,Named parts and bounded conditions,Unknown fields labeled explicitly.,Domain maintainer,Physical advice is context-dependent.,Corning 3603; 50% glycerol; 8 µL
Observed evidence,"Error text, trace, measurement, screenshot, or reproduction.",Text + links,Required,Evidence-type labels,Evidence must be linked to the same run/configuration.,Evidence reviewer,Separates testimony from reproducible evidence.,Trace line 37; cross-machine reproduction
Root-cause status,Strength of causal conclusion.,Enum,Required,Confirmed; probable; competing; unknown,Confirmed requires reproduction or decisive evidence.,Technical reviewer,Prevents hypotheses from becoming facts.,Confirmed
Resolution,"Validated procedure, correction, workaround, or disposition.",Text,Required for resolved records,Ordered steps,Must state what changed and what was tested.,Domain maintainer,Provides the reusable answer.,Corrected tip length and position; merged PRs
Validation stage,Deepest evidence stage reached.,Enum,Required,Logic; interface; simulation; dry; wet; assay; production,No stage inflation.,Evidence reviewer,Binds claims to evidence depth.,Cross-machine dry/hardware
Evidence grade,Strength of the record.,Ordinal,Required,0 unspecified; 1 declared; 2 measured; 3 device-validated; 4 independently reproduced,Grade rationale recorded.,Evidence reviewer,Makes resource and procedure credibility visible.,4
Final disposition,"State of samples, resources, run, and scientific result.",Text,Conditional,Explicit or not applicable,Required for recovery incidents.,Incident reviewer,Run continuation is not enough.,Material returned to source; tips discarded
Public artifact,"Documentation, code, PR, test, dataset, or guide.",URL list,Recommended,Public stable URLs,Links checked periodically.,Maintainer,Canonical knowledge should point to maintained artifacts.,GitHub PR and forum post-mortem
Known limitations,Conditions under which the answer may fail.,Text,Required,Explicit bounded statements,At least one limitation or 'none known'.,Technical reviewer,Prevents overgeneralization.,Not validated for all tip lots
Supersedes / superseded by,Record lineage.,Record IDs,Conditional,RKI IDs,No circular lineage.,Index steward,Supports versioned correction.,Supersedes RKI-2025-0041
Last verified,Date of latest evidence check.,Date,Required,YYYY-MM-DD,Must be updated after material changes.,Maintainer,Exposes staleness.,2026-07-28
Maintainer,"Person, team, or project responsible for review.",String,Required,Public role or project,Must be reachable through public channel.,Index steward,Knowledge without ownership decays.,PyLabRobot maintainers
Forum provenance,Original discussion and relevant post range.,URL + citation,Required,Thread URL and date,Link must resolve.,Index steward,Returns visibility and credit to the forum.,"Forum thread, Feb 2024"
Correction status,Current record status.,Enum,Required,Active; review due; disputed; superseded; archived,Disputes documented publicly.,Index steward,Makes uncertainty visible.,Active
