Thread ID,Thread,Expected primary,Plausible alternative,Why disagreement is likely,Specific adjudication question,Episode segmentation required,Priority,Source URL
2,Database storing common Labware specifications,B4,B1,The thread moves from missing physical definitions to repository design and then to off-forum coordination.,"Is each episode principally about resource semantics, canonicalization, or governance?",Yes — at least three episodes,Critical,https://labautomation.io/t/database-storing-common-labware-dwps-etc-specifications/103
4,50ul Tip Troubleshooting Report / Post-Mortem,B4,B1 / B8,"A physical-definition failure, a diagnostic process, and a successful public post-mortem coexist.",Should the correction and post-mortem be coded as a counterexample to B1/B10?,"Yes — incident, diagnosis, institutionalization",Critical,https://labautomation.io/t/50ul-tip-troubleshooting-report-post-mortem/3009
5,User feedback on Schedulers,B7,B2 / B10,"Scheduler capability, licensed drivers, deployment practice, and support are discussed together.",Which claims concern scheduling and which concern integration accessibility?,"Yes — comparison, driver moat, community guidance",Critical,https://labautomation.io/t/user-feedback-on-schedulers/1106
7,In-House Drivers Integration,B2,B1 / B9 / B10,"DIY integration, AI-assisted coding, abstractions, standards, and missing tutorials are interleaved.","Does AI change the bottleneck, or only reduce initial implementation effort?",Yes — four or more distinct episodes,Critical,https://labautomation.io/t/in-house-drivers-integration/6619
9,Tecan Driver Framework Licence,B2,B3,License access and internal platform-state synchronization are separate obstacles.,Is the episode about legal/technical access or state consistency after external control?,Yes — license and state-sync episodes,High,https://labautomation.io/t/tecan-driver-framework-licence/7297
13,Tecan Fluent Version Control (git),B3,B6 / B10,"Source control modifies a continuously maintained recovery workspace, then discussion shifts to recovery reliability.",Where does configuration entanglement end and runtime recovery begin?,"Yes — overwrite incident, recovery, open-source bridge",Critical,https://labautomation.io/t/tecan-fluent-version-control-git/6636
21,PLR Carrier z-Height Issue,B4,B3 / B10,"The thread contains imported semantic errors, missing geometry, physical measurement, nomenclature, and documentation proposals.",Which episodes concern representation defects versus documentation or governance?,Yes — multiple technical subproblems,Critical,https://labautomation.io/t/plr-carrier-z-height-issue/3056
26,Automation Report Data,B5,B1,Participants move from a concise report to comprehensive structured retention and downstream analysis.,Is database advocacy an observability decision or a knowledge-packaging decision?,"Yes — field design, structured storage, analysis",High,https://labautomation.io/t/automation-report-data/779
32,Error catching for composite functions,B6,B8 / B5,"The incident spans validation, simulation, backend errors, partial execution, and state restoration.",Which detection layer could prevent the irreversible prefix?,"Yes — incident, preflight design, runtime limits",Critical,https://labautomation.io/t/error-catching-for-composite-functions/3354
33,Scheduling Software Toy Problem,B7,B10,The scenario is intentionally incomplete; replies reveal missing scientific and operational constraints.,Which missing facts are scheduler inputs versus laboratory-policy assumptions?,"Yes — initial scenario, constraint expansion, ontology proposal",Critical,https://labautomation.io/t/scheduling-software-toy-problem/1580
36,Unit Tests,B8,B10,"Participants use different test vocabularies across software, industrial automation, and regulated laboratories.",Can the test object and supported claim be coded independently of the label used?,"Yes — practice, terminology dispute, reusable components",Critical,https://labautomation.io/t/unit-tests/3481
37,AI Assisted Method Writing,B9,B4 / B8,"The original constrained-domain claim is expanded through physical, scientific, and validation requirements.",Which new constraints are genuinely material and how should Context Expansion Ratio count them?,"Yes — initial framing, context expansion, feedback, data scarcity",Critical,https://labautomation.io/t/ai-assisted-method-writing/7218
38,VerisFlow v0.4 Release,B9,B8 / B2 / B3,"A reported 92% simulation result coexists with requests for unit tests, native APIs, and complete vendor artifacts.","What exact claim does the 92% metric support, and where does the validation funnel stop?","Yes — reported result, evaluation request, infrastructure limits",Critical,https://labautomation.io/t/verisflow-v0-4-release-ai-powered-hsl-method-generation-achieves-92-success-rate/6593
55,Venus feature requests,B3,B5 / B6 / B8 / B10,"A long requirements thread aggregates versioning, simulation, logging, recovery, schemas, and documentation.","Should each requested capability be a separate episode, and which requests have positive vendor clarification?",Yes — at least four thematic episodes,Critical,https://labautomation.io/t/venus-feature-requests/248
