Section,Field / question,Requirement level,Why it matters,Common missing-information failure,Bottleneck codes,Suggested response format,Example,Applicable to,Evidence status
Objective,What are you trying to make the system do?,Required,Defines the intended operation and prevents answers to a different problem.,Threads start with a product name or error but omit the desired physical or scientific outcome.,B1; B7; B10,One or two sentences with the intended end state.,"Move ten plates from the hotel to the reader, read each once, then return them to storage.",All questions,Direct
System identity,"Instrument manufacturer, model, serial family, and relevant modules",Required,"Interface, geometry, firmware, and recovery behavior differ across models and modules.",Advice assumes the wrong device generation or accessory.,B2; B3; B4; B10,Manufacturer + exact model + installed modules.,Tecan Fluent 1080 with FCA and LPT220 integration.,All hardware questions,Direct
Software identity,"Control software, version, edition, operating system, and licence features",Required,"Major versions can replace APIs, file semantics, and licensed capabilities.","A legacy COM answer is applied to a REST-era system, or a driver is present but not licensed.",B2; B3; B10,Exact version strings and enabled options.,VENUS 6.2; REST API enabled; Windows 11.,Software/integration,Direct
Firmware identity,Firmware versions for instrument and connected devices,Conditional,"Registers, commands, sensor behavior, and driver compatibility can be firmware-specific.",Model-specific register maps or obsolete firmware tools are conflated.,B2; B3; B10,Version or diagnostic-screen output.,STR240 V2.13; PLC firmware 1.08.,Device integration,Direct
Interface path,How is the device being controlled?,Required,"A device can expose vendor APIs, serial protocols, REST, COM, file exchange, or GUI automation with different guarantees.",A user says 'driver' without identifying the actual interface layer.,B2; B3,API/SDK/protocol/driver name and connection medium.,REST over localhost; RS-232 through USB adapter.,Integration,Direct
Licence/access,"What licences, SDKs, manuals, or credentials are available?",Conditional,Nominally available drivers or APIs may be unusable without feature licences or restricted documentation.,Advice assumes access to a commercial development kit or manual.,B2; B10,Available / unavailable / uncertain for each item.,Driver Framework installed; licence unavailable; service manual unavailable.,Integration/procurement,Direct
Method identity,"Method, script, worklist, or project version",Required,"Without immutable method identity, two runs or machines cannot be compared.","Discussion cites a filename with no commit, version, checksum, or export date.",B3; B5; B8,Commit/tag/version plus checksum when possible.,"Method v1.7.2, Git commit 1a2b3c4.",Method/debugging,Direct
Dependency identity,"Libraries, submethods, liquid classes, labware files, drivers",Required,External dependencies can change behavior without changing the main method file.,Only the top-level method is shared.,B3; B4,Versioned list or deployment manifest.,HSL library 4.1; liquid class LC-Serum-2026-02; plate definition rev 3.,Method/deployment,Direct
Physical layout,"Deck layout, carrier/site assignment, positions, lids, seals, nesting",Required,"Geometry and physical state determine collision, reachability, and transfer validity.","A destination lid, wrong site, or missing nesting offset appears only during execution.",B3; B4; B6,Annotated layout or exported configuration; redact sensitive sample names.,Plate A on carrier 3/site 2 with lid assigned; tip rack at site 5.,Physical execution,Direct
Resource identity,"Manufacturer, catalogue number, lot, definition source, and local modifications",Required,"Nominally similar labware can differ in dimensions, materials, tolerances, or imported semantics.",A generic name such as '96-well plate' hides the actual resource.,B4; B8,Part number + lot + source of software definition.,"Corning 3603, lot X; PLR definition commit abc123.",Labware/liquid handling,Direct
Geometry evidence,"Which dimensions or coordinate semantics are measured, declared, or inferred?",Conditional,"Physical models can contain wrong z origins, skirt assumptions, or imported offsets.",A value is treated as authoritative without provenance.,B4; B8,Field + value + unit + provenance + measurement procedure.,"Plate height 14.35 mm, measured with calipers, n=3.",Geometry failures,Direct
Liquid context,"Liquid identity, viscosity/conductivity, volume range, temperature, surface behavior",Conditional,Transfer performance depends on material properties beyond command syntax.,Advice proposes flow rates without identifying the liquid regime.,B4; B8; B9,"Liquid class, composition, temperature, source/destination volumes.","50% glycerol, 20 °C, 8 µL aspiration from 40 µL start volume.",Liquid handling,Direct
Scientific constraints,"Timing windows, sample stability, contamination limits, cell-layer or assay constraints",Conditional,A technically executable schedule or transfer can still be scientifically invalid.,The scheduler optimizes waiting time without sample-expiry or assay constraints.,B7; B8; B9,Explicit bounds and acceptance rules.,Read within 15 minutes of incubation; no more than 1% carryover.,Scheduling/assay,Direct
Expected behavior,What exactly should happen?,Required,"A precise expected state is necessary to distinguish error, unsupported behavior, and user expectation.","The thread reports 'does not work' without an expected command, state, or measurement.",B5; B8; B10,Ordered expected events and final disposition.,"Aspirate 100 µL, dispense to plate B, update both volume states, then eject tips.",All troubleshooting,Direct
Observed behavior,What happened instead?,Required,Separates direct observation from diagnosis or speculation.,The post contains only the presumed root cause.,B5; B8,Chronological observed events; label interpretations separately.,Pickup and aspiration completed; dispense raised LidPresentError.,All troubleshooting,Direct
Error evidence,"Full error text, timestamp, log excerpt, trace, screenshot, or sensor curve",Required,Exact evidence enables first-divergence localization and version-specific diagnosis.,Paraphrased error messages remove decisive identifiers.,B5; B6; B8,Paste text where possible; include timestamp and run ID.,"2026-07-28 14:02:11, LidPresentError, step 37.",All troubleshooting,Direct
Run/config linkage,"Run ID, configuration identity, resource identity, and relevant timestamps",Required,Evidence must be connected to the same run and deployment.,"Logs, screenshots, and methods come from different attempts.",B3; B5,Single run bundle or explicit mapping.,Run R-00412 used manifest M-1.7.2 and plate lot X.,Execution evidence,Direct
Physical state after failure,What actions completed and where is every material/resource now?,Required after partial execution,"Software rollback cannot reverse aspiration, dispensing, motion, or heating.",The thread says the run failed without recording material in tips or plate positions.,B5; B6,Last confirmed action + uncertain fields + material disposition.,Tips contain approximately 100 µL; source volume reduced; destination unchanged.,Recovery,Direct
Intervention/recovery,What did the operator or system do next?,Required after intervention,"Manual actions can alter state, contamination history, and scientific validity.",A successful continuation is reported without the recovery sequence.,B5; B6; B8,Chronological actions with actor and timestamps.,"Operator returned tips to source using custom abort handler, then discarded tips.",Recovery,Direct
Tests already performed,"What checks, simulations, measurements, or reproductions were run?",Required,Prevents repeated suggestions and reveals the deepest validation stage reached.,A simulation pass is presented without stating that no wet test occurred.,B4; B8; B9,"Test object, environment, acceptance rule, result.",Simulation trace matched; dry motion not run; wet test not run.,All technical questions,Direct
Acceptance criterion,What would count as resolved or valid?,Required,A test result is uninterpretable without a threshold or expected invariant.,A curve 'looks better' but no acceptable transfer error is defined.,B5; B8; B9,Numerical threshold or explicit invariant.,Transferred volume within ±5%; no unexpected liquid-history conflict.,Validation,Direct
Changes since last success,"What changed in software, firmware, hardware, method, labware, liquid, or environment?",Required,Recent changes are high-value causal candidates.,"The user omits a version upgrade, new lot, or re-teaching.",B2; B3; B4; B5,Dated change list.,Upgraded VENUS 4 to 6; changed tip lot; re-taught carrier 2.,All troubleshooting,Direct
Reproduction scope,"Does the issue reproduce on another machine, user, method, lot, or configuration?",Conditional,Independent reproduction raises evidence grade and distinguishes local calibration from portable defects.,A single-machine success is treated as a universal definition.,B4; B8,Matrix of tested configurations and outcomes.,Fails on machine B; works on A; same software and tip lot.,Portability,Direct
Safety/confidentiality,"What cannot be shared, and are there safety or sample-value constraints?",Conditional,"Redaction and recovery decisions depend on confidentiality, hazards, and sample consequence.",Users omit key context because they do not know how to share it safely.,B1; B6; B9; B10,State constraints without revealing sensitive assay details.,Sample is irreplaceable; composition confidential; safe to share viscosity range.,Sensitive workflows,Direct
Requested help,What response would be most useful?,Required,"Distinguishes diagnosis, comparison, code review, design feedback, or a recovery procedure.",Replies solve a different problem than the user intended.,B1; B10,Choose one primary request and optional secondary request.,Primary: diagnose root cause. Secondary: propose a reproducible test.,All questions,Direct
