Audit ID,Source URL,Source title,Source date,Source role,Bib keys,Quote-bank codes,Approved exact quotation,Surrounding-context result,Later-update result,Product-report status,Required correction,Supported claim boundary,Prohibited inference,Review status
SQA-01,https://labautomation.io/about,About Lab Automation Forums,2026,manuscript_cite,labautomation_about,,,pass: cite-only page; no quotation submitted,pass: page content remains consistent with manuscript use,not_a_product_report,none,Platform About page only (https://labautomation.io/about),"Forum-wide prevalence, industry frequency, or vendor reliability",complete
SQA-02,https://labautomation.io/tos,Terms of Service,2026,manuscript_cite,labautomation_terms,,,pass: cite-only page; no quotation submitted,pass: page content remains consistent with manuscript use,not_a_product_report,none,Platform Terms of Service page only (https://labautomation.io/tos),"Forum-wide prevalence, industry frequency, or vendor reliability",complete
SQA-03,https://labautomation.io/t/welcome-to-lab-automation-forums/7,Welcome to Lab Automation Forums,Aug 2022,both,forum_welcome,B1,Every aspect of lab automation is closed off from the outside world.,pass: surrounding posts support the approved quotation reading,pass: no later public update reverses the audited excerpt,not_a_product_report,none,Founding rationale; systemic knowledge fragmentation.,Quantitative prevalence or causal inference from the quotation alone,complete
SQA-04,https://labautomation.io/t/50ul-tip-troubleshooting-report-post-mortem/3009,50ul Tip Troubleshooting Report / Post-Mortem,Feb 2024,both,forum_tip_postmortem,B4,other users couldn’t pick up the tip.,pass_after_correction: quotation matches approved source wording in context,pass: no later public update reverses the audited excerpt,not_a_product_report,applied: retained source capitalization of tip-pickup clause,Cross-machine failure of a shared resource definition; source capitalization retained.,Quantitative prevalence or causal inference from the quotation alone,complete
SQA-05,https://labautomation.io/t/user-feedback-on-schedulers/1106,User feedback on Schedulers,May 2024,both,forum_scheduler_feedback,B2,Documentation on drivers is lacking.,pass: surrounding posts support the approved quotation reading,pass: no later public update reverses the audited excerpt,not_a_product_report,none,Driver availability alone does not ensure usable integration.,Quantitative prevalence or causal inference from the quotation alone,complete
SQA-06,https://labautomation.io/t/tecan-fluent-version-control-git/6636,Tecan Fluent Version Control (git),Sep 2025,both,forum_tecan_git,B3,This is a runtime state file.,pass: surrounding posts support the approved quotation reading,pass: no later public update reverses the audited excerpt,not_a_product_report,none,Concise identification of source/runtime entanglement.,Quantitative prevalence or causal inference from the quotation alone,complete
SQA-07,https://labautomation.io/t/automation-report-data/779,Automation Report Data,Nov 2022,both,forum_automation_report,B5,Capture everything - and only surface only what you need today.,pass_after_correction: quotation matches approved source wording in context,pass: no later public update reverses the audited excerpt,not_a_product_report,"applied: restored source repetition ""and only surface only""",Advocates structured retention with selective presentation; source repetition retained verbatim.,Quantitative prevalence or causal inference from the quotation alone,complete
SQA-08,https://labautomation.io/t/error-catching-for-composite-functions/3354,Error catching for composite functions,Apr 2024,both,forum_error_catching,B6,I might have valuable liquid in my tips.,pass: surrounding posts support the approved quotation reading,pass: no later public update reverses the audited excerpt,not_a_product_report,none,Material remains in transit after partial execution.,Quantitative prevalence or causal inference from the quotation alone,complete
SQA-09,https://labautomation.io/t/return-volume-after-method-abort/3201,Return volume after method abort,Jul 2025,both,forum_return_volume,B6,there is NO WAY to recovery [sic] any solution in the tips.,pass_after_correction: quotation matches approved source wording in context,pass: no later public update reverses the audited excerpt,not_a_product_report,applied: restored source grammar with [sic] marker,Reported recovery limitation after abort; source grammar retained and marked.,Quantitative prevalence or causal inference from the quotation alone,complete
SQA-10,https://labautomation.io/t/scheduling-software-toy-problem/1580,Scheduling Software Toy Problem,May 2023,both,forum_scheduling_toy,B7,information about constraints ... becomes critical.,pass_after_correction: quotation matches approved source wording in context,pass: no later public update reverses the audited excerpt,not_a_product_report,applied: marked omitted words with ellipsis,Scheduling cannot be evaluated without scientific constraints; omitted words marked explicitly.,Quantitative prevalence or causal inference from the quotation alone,complete
SQA-11,https://labautomation.io/t/unit-tests/3481,Unit Tests,Apr 2024,both,forum_unit_tests,B8,It may be called a functional test instead.,pass: surrounding posts support the approved quotation reading,pass: no later public update reverses the audited excerpt,not_a_product_report,none,Testing labels differ across software and automation practice.,Quantitative prevalence or causal inference from the quotation alone,complete
SQA-12,https://labautomation.io/t/ai-assisted-method-writing/7218,AI Assisted Method Writing,Jan 2026,both,forum_ai_method,B9,you still need human awareness to make sure everything is working properly.,pass_after_correction: quotation matches approved source wording in context,pass: no later public update reverses the audited excerpt,not_a_product_report,applied: replaced unsupported excerpt with verified sentence,Verified source wording describing the continuing physical-feedback role.,Quantitative prevalence or causal inference from the quotation alone,complete
SQA-13,https://labautomation.io/t/verisflow-v0-4-release-ai-powered-hsl-method-generation-achieves-92-success-rate/6593,VerisFlow v0.4 Release: AI-Powered HSL Method Generation Achieves 92% Success Rate,2025,manuscript_cite,forum_verisflow,,,pass: cite-only page; no quotation submitted,pass: page content remains consistent with manuscript use,product_report_bounded_to_stated_metric,none,Simulation-trace agreement as reported for the stated worklist sample,"Wet-lab success rate, dry-hardware validation, or assay performance",complete
SQA-14,https://labautomation.io/t/ways-to-learn-hamilton-hsl-code/1156,Ways to learn Hamilton HSL code?,Mar 2023,both,forum_hsl_learning,B10,This would have saved me so much time.,pass: surrounding posts support the approved quotation reading,pass: no later public update reverses the audited excerpt,not_a_product_report,none,Valuable documentation existed but was poorly discoverable.,Quantitative prevalence or causal inference from the quotation alone,complete
SQA-15,https://labautomation.io/t/contributing-to-plr-documentation/3054,Contributing to PLR Documentation,2024,manuscript_cite,forum_plr_docs,,,pass: cite-only page; no quotation submitted,pass: page content remains consistent with manuscript use,not_a_product_report,none,Manuscript citation support for the named discussion only,Generalization beyond the cited discussion and its recorded scope,complete
SQA-16,https://labautomation.io/t/atypical-hamilton-tadm-curves/7165,Atypical Hamilton TADM Curves,2026,manuscript_cite,forum_tadm,,,pass: cite-only page; no quotation submitted,pass: page content remains consistent with manuscript use,not_a_product_report,none,Manuscript citation support for the named discussion only,Generalization beyond the cited discussion and its recorded scope,complete
SQA-17,https://labautomation.io/t/database-storing-common-labware-dwps-etc-specifications/103,Database storing common Labware specifications,Aug 2022,quote_bank,,B1,Finding labware is a mess.,pass: surrounding posts support the approved quotation reading,pass: no later public update reverses the audited excerpt,not_a_product_report,none,Direct description of discovery burden.,Quantitative prevalence or causal inference from the quotation alone,complete
SQA-18,https://labautomation.io/t/temp-control-device-venus/1284,Temp control device - Venus,Jan 2024,quote_bank,,B2,I immediately had to stop and work on other projects.,pass: surrounding posts support the approved quotation reading,pass: no later public update reverses the audited excerpt,not_a_product_report,none,Integration attempt halted after interface and expertise barriers.,Quantitative prevalence or causal inference from the quotation alone,complete
SQA-19,https://labautomation.io/t/automatically-update-submethod-versions/3530,Automatically Update Submethod Versions?,Apr 2024,quote_bank,,B3,I regularly see this issue and don’t have a good fix.,pass: surrounding posts support the approved quotation reading,pass: no later public update reverses the audited excerpt,not_a_product_report,none,Recurring unresolved version-reference problem.,Quantitative prevalence or causal inference from the quotation alone,complete
SQA-20,https://labautomation.io/t/plr-carrier-z-height-issue/3056,PLR Carrier z-Height Issue,2024,quote_bank,,B4,This attribute has so far been completely missing in PLR.,pass: surrounding posts support the approved quotation reading,pass: no later public update reverses the audited excerpt,not_a_product_report,none,Missing geometry field affected physical placement.,Quantitative prevalence or causal inference from the quotation alone,complete
