ID,Thread,Date,Category,Primary,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,Evidence type,Resolution,Public artifact / outcome,External migration,Evidence strength,Source URL,Analytical note
29,Cross Contamination Tracking in PLR,2024-05-22,PyLabRobot Development,B5,0,0,0,1,1,0,0,1,0,0,State-model feature,Implemented discussion,Code concept,No,4,https://labautomation.io/t/cross-contamination-tracking-in-plr/3695,Represents liquid history and wash/reset semantics as tracked state.
30,Liquid Handling Proof of No Contamination,2026-02-11,Liquid Handling,B8,0,0,0,0,1,0,0,1,0,1,Validation design,Open,Measurement framework proposal,No,4,https://labautomation.io/t/liquid-handling-proof-of-no-contamination/7281,"Separates current, predicted, and observed contamination risk."
31,Liquid/surface detection to avoid contamination,2025-04-08,Hamilton (Venus),B5,0,0,0,1,1,1,0,1,0,1,Operational safety problem,Partial,State-file workaround proposed,No,4,https://labautomation.io/t/liquid-surface-detection-to-avoid-contamination/5839,"Human selection, sensor limits, and plate-state tracking interact."
32,Error catching for composite functions,2024-04-03,PyLabRobot Development,B6,0,0,1,0,1,1,0,1,0,0,Partial-execution incident,Open / design proposed,Queueing and validation concept,No,4,https://labautomation.io/t/error-catching-for-composite-functions/3354,"Failure occurs after aspiration, leaving valuable material in uncertain state."
33,Scheduling Software Toy Problem,2023-05-25,Schedulers,B7,0,0,0,0,0,0,1,0,0,1,Benchmark discussion,Open,Toy scenario,No,4,https://labautomation.io/t/scheduling-software-toy-problem/1580,"Replies expose omitted deadlines, disposal, occupancy, and assay semantics."
34,Galago - Open Source Scheduler,2025-10-08,Schedulers,B7,1,1,0,0,0,0,1,0,0,1,Open-source release,Product-reported,Public code and reported run history,No,3,https://labautomation.io/t/galago-open-source-scheduler/6701,Claims driver breadth and production use; independent benchmark remains absent.
35,Scheduler with 3D simulation,2023-09-26,Schedulers,B7,0,0,0,0,0,0,1,1,0,1,Product demonstration,Open feedback,Video demonstration,No,2,https://labautomation.io/t/scheduler-with-3d-simulation/2221,Shows simulation as a feature but provides little common evaluation structure.
36,Unit Tests,2024-04-19,Quality Assurance,B8,1,0,0,0,0,0,0,1,0,1,Terminology and practice discussion,Open,Proposed reusable-component approach,No,4,https://labautomation.io/t/unit-tests/3481,"Distinguishes software unit tests from functional, integration, and system tests."
37,AI Assisted Method Writing,2026-01-31,Liquid Handling,B9,1,0,0,1,1,0,0,1,1,1,Technical debate,Open,Candidate data and evaluation ideas,No,4,https://labautomation.io/t/ai-assisted-method-writing/7218,Replies expand a simple action vocabulary into extensive physical and scientific context.
38,VerisFlow v0.4 Release,2025-09-17,Hamilton (Venus),B9,0,1,1,0,1,0,0,1,1,1,AI system report,Product-reported,Test data and tools linked,No,4,https://labautomation.io/t/verisflow-v0-4-release-ai-powered-hsl-method-generation-achieves-92-success-rate/6593,Reports simulation and trace-log metrics while exposing native-API and artifact-generation limits.
39,Substack post about AI in Lab Automation,2026-02-22,General,B9,1,0,1,0,1,0,0,1,1,0,Practice synthesis,Open,Public essay and discussion,No,4,https://labautomation.io/t/substack-post-about-ai-in-lab-automation/7347,Emphasizes simulated end-to-end testing and production-readiness gap.
40,Green Button Go Scheduler,2022-09-19,Schedulers,B10,0,1,0,0,0,0,1,0,0,1,Training and support,Informational,Training offerings,No,3,https://labautomation.io/t/green-button-go-scheduler/402,Training availability is treated as part of successful use.
41,Ways to learn Hamilton HSL code?,2023-03-02,Hamilton (Venus),B10,1,0,0,0,0,0,0,0,0,1,Documentation discovery,Resolved,Built-in reference identified,No,4,https://labautomation.io/t/ways-to-learn-hamilton-hsl-code/1156,High-value documentation existed but was difficult for users to discover.
42,Programing Help: Hamilton,2024-04-25,Hamilton (Venus),B10,1,0,0,0,0,0,0,1,0,1,Mentoring request,Partial,Manuals and peer review offered,Partial,4,https://labautomation.io/t/programing-help-hamilton/3527,Shows demand for method review and skill progression beyond introductory training.
43,Green Button Go Best Practices,2024-01-05,Schedulers,B10,0,0,0,0,0,1,1,1,0,1,Best-practice guidance,Informational,Modularity and error-handling advice,No,3,https://labautomation.io/t/green-button-go-best-practices/2697,Documents decomposition practices that improve control and recovery.
44,Help me design a new screening workstation,2025-02-07,Robotic Arms,B7,1,1,0,0,0,0,1,0,0,1,System-design request,Open,Community recommendations,No,3,https://labautomation.io/t/help-me-design-a-new-screening-workstation-robotics-scheduler-acoustic-dispenser-and-more/5522,Procurement is impeded by sparse comparable public information.
45,Liquid Handling Software Toy Problem (Difficult),2023-05-26,Liquid Handling,B8,0,0,0,1,0,0,1,1,0,0,Benchmark proposal,Open,Toy challenge,No,3,https://labautomation.io/t/liquid-handling-software-toy-problem-difficult/1586,Positive example of shareable challenge construction without proprietary assay data.
46,Writing a new backend / Agnosticity,2022-12-14,PyLabRobot Development,B2,1,1,1,0,0,0,0,0,0,1,Architecture discussion,Partial,Backend design guidance,No,4,https://labautomation.io/t/writing-a-new-backend-agnosticity/844,Clarifies the split between common operations and device-specific implementations.
47,Most Automation Friendly Plate Reader,2022-08-21,Plate Readers,B2,0,1,0,0,0,0,1,0,0,1,Community comparison,Open,Informal poll,No,2,https://labautomation.io/t/most-automation-friendly-plate-reader/76,Illustrates demand for integration comparisons without controlled denominators.
48,How to configure Liconic plate transfer nests,2026-02-05,Integrated Devices,B2,0,1,0,0,1,1,0,0,0,1,Hardware integration incident,Open / partial,Reverse-engineering guidance,No,4,https://labautomation.io/t/how-to-configure-liconic-plate-transfer-nests/7245,"Sensor, firmware, driver, and physical-modification hypotheses compete."
49,Advice needed: which system to buy,2024-02-29,Liquid Handling,B2,0,1,0,0,0,0,1,0,0,1,Procurement discussion,Open,Practitioner advice,No,3,https://labautomation.io/t/advice-needed-which-system-to-buy/3088,"Compares openness, service, maintenance, capability, and extensibility."
50,Worklist Commands - Mixing?,2023-06-16,Tecan,B3,1,0,1,0,0,0,0,0,0,1,Interface capability request,Open,None identified,No,3,https://labautomation.io/t/worklist-commands-mixing/1708,Dynamic process need is constrained by available worklist representation and documentation.
51,Return volume after method abort,2024-03-16,Hamilton (Venus),B6,0,0,0,0,1,1,0,1,0,1,Recovery incident,Partial,Error-handler guidance,No,4,https://labautomation.io/t/return-volume-after-method-abort/3201,Distinguishes safe abort behavior from recovery of valuable material already in tips.
52,Error Recovery: Script Example,2022-09-05,PyHamilton,B6,1,0,1,0,1,1,0,0,0,1,Recovery design,Partial,State-checkpointing example,Partial,4,https://labautomation.io/t/error-recovery-script-example/252,Uses serialized state and function boundaries to resume after failure.
