Record ID,Problem,Primary code,Systems / context,Root-cause status,Resolution / reusable lesson,Validation stage,Evidence grade,Public artifact,Known limitation,Maintainer / owner,Last verified,Forum provenance,Status
RKI-2026-0001,50 µL tip definition works locally but fails pickup and positioning on another machine.,B4,Hamilton 50 µL tips/racks represented in PyLabRobot,Confirmed,"Correct tip length, z position, and rack parameters; document the multi-cause diagnosis and merge fixes.",Cross-machine hardware,4,Forum post-mortem and merged PyLabRobot corrections,"Does not validate all machines, lots, or tip families.",PyLabRobot maintainers,2026-07-28,https://labautomation.io/t/50ul-tip-troubleshooting-report-post-mortem/3009,Active
RKI-2026-0002,VENUS 4 COM-based control no longer works after upgrading to VENUS 6.,B2,Hamilton VENUS 6 method-control interface,Confirmed,Use the VENUS 6 REST API and enable the API server; treat legacy COM guidance as version-specific.,Interface,3,Public forum explanation and API activation instructions,"API coverage, licensing, and future compatibility remain version-bound.",Hamilton community/vendor participants,2026-07-28,https://labautomation.io/t/hamilton-venus-6-com-interface-different-from-venus-4/5834,Active
RKI-2026-0003,Source control captures a live Fluent recovery workspace and restored files are overwritten.,B3,Tecan Fluent Git workflow and active runtime state,Confirmed,"Exclude active recovery/runtime workspaces from ordinary source control; distinguish method source, deployment configuration, and transient state.",Deployment / runtime,3,Forum diagnosis and rollback discussion,A complete vendor-independent deployment manifest is not supplied.,Tecan practitioner community,2026-07-28,https://labautomation.io/t/tecan-fluent-version-control-git/6636,Active
RKI-2026-0004,Composite liquid-transfer operation fails only after pickup and aspiration.,B6,PyLabRobot composite transfer with destination lid assigned,Confirmed,Validate the complete operation sequence and modeled destination state before dispatch; record material in transit and final disposition after failure.,Simulation / runtime incident,3,Forum design discussion and queued-validation proposal,Implementation and scientific recovery outcome are not confirmed.,PyLabRobot maintainers/community,2026-07-28,https://labautomation.io/t/error-catching-for-composite-functions/3354,Review due
RKI-2026-0005,Users cannot find Hamilton HSL documentation despite installed reference material.,B10,Hamilton VENUS/HSL learning workflow,Confirmed,Use the editor help/reference and bundled examples; distinguish built-in reference access from paid training and source-file review.,Documentation / interface,3,Public forum answer,Reference completeness and current-version coverage are not assessed.,Hamilton community/vendor participants,2026-07-28,https://labautomation.io/t/ways-to-learn-hamilton-hsl-code/1156,Active
RKI-2026-0006,A scheduling toy problem cannot be evaluated because scientific and operating constraints are missing.,B7,Multi-user lab scheduling scenario,Confirmed,"Specify stability windows, interruptibility, terminal disposition, priorities, storage eligibility, and failure policy before comparing schedules.",Requirements,3,Public toy problem and constraint-elicitation discussion,The thread does not produce a fully resolved benchmark instance.,Forum scheduler community,2026-07-28,https://labautomation.io/t/scheduling-software-toy-problem/1580,Active
RKI-2026-0007,A Tecan driver exists but cannot be used without Driver Framework licensing.,B2,Tecan LPT220 / Fluent Driver Framework,Confirmed,Verify licence availability separately from driver installation; consider an external RS-232 wrapper and plan state synchronization explicitly.,Interface / deployment,3,Public licensing and workaround discussion,Price estimates are unofficial; external control may not update internal platform state.,Tecan community/vendor participants,2026-07-28,https://labautomation.io/t/tecan-driver-framework-licence/7297,Active
RKI-2026-0008,Pressure curves differ between aspiration cycles and are treated as possible transfer failures.,B5,Hamilton TADM aspiration telemetry,Competing,"Record starting volume, tip reuse, liquid class, aspiration settings, and independent transfer measurement before attributing curve differences to failure.",Runtime telemetry,2,Public expert interpretation,Curve shape alone does not establish transferred volume or root cause.,Hamilton liquid-handling community,2026-07-28,https://labautomation.io/t/atypical-hamilton-tadm-curves/7165,Active
RKI-2026-0009,AI-generated HSL methods are described with a 92% success rate.,B8,"VerisFlow v0.4, 100 random worklists",Confirmed for scoped claim,"Describe the result as 92/100 simulation-trace agreement; report dry, wet, assay, artifact-generation, and error-handling evidence separately.",Simulation trace,2,Public test data and trace-comparison description,No independent wet or assay replication is reported.,VerisFlow developers/community reviewers,2026-07-28,https://labautomation.io/t/verisflow-v0-4-release-ai-powered-hsl-method-generation-achieves-92-success-rate/6593,Active
RKI-2026-0010,Contributors do not know how to update PyLabRobot documentation.,B10,PyLabRobot documentation contribution workflow,Confirmed,Provide local build commands and a page-level edit path that opens a GitHub contribution flow.,Documentation process,3,Public contribution instructions,A contribution path does not establish complete documentation coverage.,PyLabRobot maintainers,2026-07-28,https://labautomation.io/t/contributing-to-plr-documentation/3054,Active
