Requirement field,Opening score (0/0.5/1),Present at opening?,Identified in discussion?,Resolved with scenario-specific value?,Opening evidence,Discussion evidence / unresolved issue,Required for evaluation?,Source URL,Coding confidence
Resource identities and capacities,1,Yes,Yes,Yes,"ARM(1), INCUBATOR(32), DISPENSER(1), HOTEL(10), READER(1).",Resource set is explicit.,Yes,https://labautomation.io/t/scheduling-software-toy-problem/1580,High
Task types and quantities,1,Yes,Yes,Yes,Alice: 3 incubations; Bob: 4 reads or 2 washes; Charlie: 10 reads.,Tasks and quantities are explicit.,Yes,https://labautomation.io/t/scheduling-software-toy-problem/1580,High
Processing durations,1,Yes,Yes,Yes,72 h incubation; 45 min reads; 15 min washes; 1 h Charlie reads.,Durations are explicit.,Yes,https://labautomation.io/t/scheduling-software-toy-problem/1580,High
Transfer duration,1,Yes,Yes,Yes,Any plate move is defined as 90 s.,Transport duration is explicit.,Yes,https://labautomation.io/t/scheduling-software-toy-problem/1580,High
Release / arrival times,1,Yes,Yes,Yes,Alice at t=0; Bob at t=4 h; Charlie at t=70 h.,Release times are explicit.,Yes,https://labautomation.io/t/scheduling-software-toy-problem/1580,High
Precedence and post-process sequence,0.5,Partial,Yes,No,Basic operation order is implicit.,What Alice does immediately after incubation and whether Charlie's read can be interrupted remain unresolved.,Yes,https://labautomation.io/t/scheduling-software-toy-problem/1580,High
Resource eligibility / alternate storage,0.5,Partial,Yes,No,The hotel is described as temperature-controlled.,"Whether plates may wait in the incubator, reader, or another location is questioned but not resolved.",Yes,https://labautomation.io/t/scheduling-software-toy-problem/1580,High
Temporal windows / deadlines,0.5,Partial,Yes,No,Alice plans to retrieve at 72 h; Bob wants his work as soon as possible.,Assay-specific start windows and allowable retrieval delay remain unspecified.,Yes,https://labautomation.io/t/scheduling-software-toy-problem/1580,High
Sample stability / waiting tolerance,0,No,Yes,No,No scenario-specific sample stability bounds are given.,"Replies explain that some samples can wait and others require rapid start, but no value is assigned to these plates.",Yes,https://labautomation.io/t/scheduling-software-toy-problem/1580,High
Interruptibility / preemption,0,No,Yes,No,No rule states whether Charlie's sequence can pause between plates.,"A reply proposes interrupting between reads, but the scenario does not confirm this is allowed.",Yes,https://labautomation.io/t/scheduling-software-toy-problem/1580,High
Terminal disposition / disposal,0,No,Yes,No,No disposal device or post-read disposition is included.,A reply proposes discarding Charlie's plates only if they are useless after reading; that condition is not resolved.,Yes,https://labautomation.io/t/scheduling-software-toy-problem/1580,High
Priority / objective weights,0.5,Partial,Yes,No,Bob is impatient; Alice and Charlie seek minimum waiting.,"No formal weights, fairness rule, or lexicographic priority are specified.",Yes,https://labautomation.io/t/scheduling-software-toy-problem/1580,High
Failure and recovery policy,0,No,No,No,No device-failure or recovery behavior is specified.,The thread does not develop a failure-policy requirement.,Yes,https://labautomation.io/t/scheduling-software-toy-problem/1580,High
